Track ID,Track Name,Artist,Album,Duration (ms),Popularity,Genre
5GorCbAP4aL0EJ16frG2hd,Boulevard of Broken Dreams,Green Day,Greatest Hits: God's Favorite Band,262333,71,"punk, pop punk"
3z8h0TU7ReDPLIbEnYhWZb,Bohemian Rhapsody,Queen,Bohemian Rhapsody (The Original Soundtrack),354947,72,"classic rock, rock, glam rock"
2JzZzZUQj3Qff7wapcbKjc,See You Again (feat. Charlie Puth),"Wiz Khalifa, Charlie Puth",See You Again (feat. Charlie Puth),229525,80,rap
3USxtqRwSYz57Ewm6wWRMp,Heat Waves,Glass Animals,Dreamland,238805,84,Pop
3Ofmpyhv5UAQ70mENzB277,Astronaut In The Ocean,Masked Wolf,Astronaut In The Ocean,132780,70,Hip-Hop / Rap
1Xi84slp6FryDSCbzq4UCD,Arcade,Duncan Laurence,Arcade,183624,74,Pop
6qYkmqFsXbj8CQjAdbYz07,Blinding Lights,The Weeknd,Blinding Lights,200045,60,Pop
0e7ipj03S05BNilyu5bRzt,rockstar (feat. 21 Savage),"Post Malone, 21 Savage",beerbongs & bentleys,218146,81,Hip-Hop / Rap
1EYeZGTMCjV7uVey5fNWXM,love nwantiti (feat. ElGrande Toto) - North African Remix,"CKay, ElGrandeToto",love nwantiti (feat. ElGrande Toto) [North African Remix],135480,59,"afrobeats, afrobeat, afropop"
0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),"Rema, Selena Gomez",Calm Down (with Selena Gomez),239317,79,"afrobeats, afrobeat, afropop, afropiano"
0VzBKgimNRMauaqzT2rEnS,Go Down Deh (feat. Sean Paul & Shaggy),"Spice, Sean Paul, Shaggy",Go Down Deh (feat. Sean Paul & Shaggy),154151,64,"dancehall, soca, shatta, ragga"
48QmG1dfvMuYLxMPt7KSRA,No Lie,"Sean Paul, Dua Lipa",Mad Love The Prequel,221176,81,dancehall
1r9xUipOqoNwggBpENDsvJ,Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, JID, Arcane, League of Legends",Enemy (with JID) [from the series Arcane League of Legends],173381,75,
0z3XcxcrqvWe36Dtgiqrh0,Revenge,"Captainsparklez, Tryhardninja",Revenge,220208,56,Trap / Hip-Hop + Electronic Fusion
1jLsirPDkUS2g4gnkYua58,Ignite,"Alan Walker, Julie Bergan, K-391, SEUNGRI",Ignite,210288,68,EDM / Electronic
3RiPr603aXAoi4GHyXx0uy,Hymn for the Weekend,Coldplay,A Head Full of Dreams,258266,83,Pop
1SOClUWhOi8vHZYMz3GluK,Infinity,Jaymes Young,Feel Something,237720,76,Pop
58w68w4s8h9gw3xrDaXyuj,At My Worst (feat. Kehlani),"Pink Sweat$, Kehlani",At My Worst (feat. Kehlani),169127,57,R&B/Pop
3rmo8F54jFF8OgYsqTxm5d,Bad Habits,Ed Sheeran,=,230746,79,soft pop
6osKPJp6kQwZcgUqBteJFN,Safari,Serena,Safari,187408,59,Trap / Hip-Hop + Electronic Fusion
5cF0dROlMOK5uNZtivgu50,Attention,Charlie Puth,Voicenotes,208786,81,"soft pop, pop"
06KyNuuMOX1ROXRhj787tj,We Don't Talk Anymore (feat. Selena Gomez),"Charlie Puth, Selena Gomez",Nine Track Mind,217706,77,"soft pop, pop"
5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),141805,78,Pop
27NovPIUIRrOZoCHxABJwK,INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow",INDUSTRY BABY (feat. Jack Harlow),212000,73,Hip-Hop / Rap
67BtfxlNbhBmCDR2L2l8qd,MONTERO (Call Me By Your Name),Lil Nas X,MONTERO (Call Me By Your Name),137875,69,Hip-Hop / Rap
0qOnSQQF0yzuPWsXrQ9paz,Stereo Hearts (feat. Adam Levine),"Gym Class Heroes, Adam Levine",The Papercut Chronicles II,210960,80,Pop Rock
3e7sxremeOE3wTySiOhGiP,Dusk Till Dawn (feat. Sia) - Radio Edit,"ZAYN, Sia",Icarus Falls,239000,81,Pop Rock
09CtPGIpYB4BrO8qb1RGsF,Sorry,Justin Bieber,Purpose (Deluxe),200786,83,Pop Rock
2tpWsVSb9UEmDRxAl1zhX1,Counting Stars,OneRepublic,Native,257265,85,soft pop
3C0nOe05EIt1390bVABLyN,On The Floor,"Jennifer Lopez, Pitbull",Love?,284866,80,R&B / Soul
285HeuLxsngjFn4GGegGNm,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta, AFROJACK, Bebe Rexha, Nicki Minaj",Listen,192560,73,"edm, dance"
3h4T9Bg8OVSUYa6danHeH5,Animals,Maroon 5,V (Asia Tour Edition),231013,71,pop
1mXuMM6zjPgjL4asbBsgnt,Firework,Katy Perry,Teenage Dream,227893,68,pop
1i1fxkWeaMmKEB4T7zqbzK,Don't Let Me Down,"The Chainsmokers, Daya",Don't Let Me Down,208373,80,EDM / Electronic
58HvfVOeJY7lUuCqF0m3ly,MIDDLE OF THE NIGHT,Elley Duhé,MIDDLE OF THE NIGHT,184447,74,EDM / Electronic
28VbwtsYnj85UEODGpQRem,"Alone, Pt. II","Alan Walker, Ava Max",World Of Walker,179052,70,EDM / Electronic
5knuzwU65gJK7IF5yJsuaW,Rockabye (feat. Sean Paul & Anne-Marie),"Clean Bandit, Anne-Marie, Sean Paul",Rockabye (feat. Sean Paul & Anne-Marie),251088,70,EDM / Electronic
08bNPGLD8AhKpnnERrAc6G,FRIENDS,"Marshmello, Anne-Marie",FRIENDS,202620,74,edm
2Fxmhks0bxGSBdJ92vM42m,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",194087,80,Pop Rock
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),"Billie Eilish, Khalid",lovely (with Khalid),200185,86,Pop Rock
6KigD0mlF4VGDYiSEzAyYw,Fight Back,NEFFEX,Fight Back: The Collection,200571,70,EDM / Electronic
2yAVzRiEQooPEJ9SYx11L3,Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,"Eiffel 65, Gabry Ponte",Europop,283747,11,"eurodance, europop, italo dance"
2eAvDnpXP5W0cVtiI0PUxV,Dandelions,Ruth B.,Safe Haven,233720,85,Pop
